"","State","County","Presence.of.Water.Violation","standardized_deaths","Percentage_Adults_with_Obesity","Percentage_Physically_Inactive","Percentage__With.Access.to.Exercise.Opportunities","Percentage_Excessive.Drinking","Percentage_Driving.Deaths.with.Alcohol.Involvement","Percentage_Uninsured","Primary.Care.Physicians.Ratio","Dentist.Ratio","Mental.Health.Provider.Ratio","Preventable.Hospitalization.Rate","Percentage_Vaccinated","High.School.Graduation.Rate","Social.Association.Rate","Violent.Crime.Rate","Injury.Death.Rate","Average.Daily.PM2.5","Percentage_.Drive.Alone.to.Work","Percentage_Long.Commute...Drives.Alone","Infant.Mortality.Rate","Percentage_Adults.with.Diabetes","HIV.Prevalence.Rate","Drug.Overdose.Mortality.Rate","Percentage_Insufficient.Sleep","Other.Primary.Care.Provider.Rate","Percentage_Disconnected.Youth","Average.Grade.Performance","Percentage_.Enrolled.in.Free.or.Reduced.Lunch","Suicide.Rate..Age.Adjusted.","Percentage_.Not.Proficient.in.English","Percentage_Female"
"11","Michigan","Branch","Yes",1.10339240506329,38,30,62,19.20905381,31.03448276,8.1180703,2171,1897,661,5272,45,80.71278826,10.59663672,277,77.18176305,11.8,83,25.7,8.152937869,10.2,58,18.39658437,37.75487449,59,13.43820225,2.89247152815038,58.21927888,18.27399249,1.487615418,48.45490807
"12","Michigan","Calhoun","No",8.79246538461538,33.8,27,77,17.99378166,36.36363636,5.626721827,1677,1416,311,4168,50,88.13033359,11.63068114,644,94.91321689,11.5,83,22.5,6.486676017,13.8,148.9,35.9800596,35.47858379,126,6.095318908,2.666473631,58.47872966,19.51819256,1.058809533,51.06069732
"13","Michigan","Cass","Yes",2.51024390243902,39.8,30,62,19.4645941,29.09090909,7.221533118,5138,3228,906,3674,48,89.9103139,8.3688523,223,66.69303368,12.9,82,36.2,8.335728658,18.7,43.3,12.93384983,33.60798942,29,8.694057227,2.864492035,55.63292021,18.52457634,0.257631832,49.82092037
"14","Michigan","Charlevoix","Yes",2.01684615384615,34.9,17,84,18.6756041,60,6.371191136,1136,750,536,3703,42,91.90283401,14.92023413,158,67.21867457,7.4,79,22.5,7.1221216307125,12.5,35.4,22.0328776529143,32.89932997,60,11.0378275771963,3.312411009,50.48543689,13.43968131,0.299401198,50.5105929
"15","Michigan","Cheboygan","No",1.33989473684211,30.3,27,78,17.91372444,61.53846154,8.289985216,1691,2310,1059,3994,38,86.75799087,11.82545627,133,67.56491338,7.1,81,35.9,7.1221216307125,17.7,62.3,13.12628802,36.81288085,59,11.0378275771963,2.94655024,62.68328446,19.97172112,0.224590633,50.1318223
"16","Michigan","Chippewa","Yes",0,40.5,31,86,20.89172361,40,9.33121861,1640,1631,313,4897,34,87.5,10.34181008,288,70.78486683,6.9,76,15.2,7.1221216307125,12.5,76.3,13.27997734,37.24898289,93,7.416383907,2.854387208,58.3373494,18.88794732,0.466770393,44.79569262
"17","Michigan","Clare","No",5.10266666666667,37.3,31,66,17.31829601,40,8.009898411,3065,3845,992,4969,35,88.62068966,11.09189965,350,91.51941846,8.3,80,36.6,7.1221216307125,16.7,99.4,29.42202075,37.636453,78,8.069381599,2.856594981,64.06105458,21.39063084,0.57995029,50.01137952
"18","Michigan","Clinton","No",6.18222222222222,34.1,24,72,22.90905262,21.95121951,4.59722794,3138,3967,891,3767,50,94.84924623,7.266422753,94,53.02933265,10.6,86,29.6,3.735524841,11.4,62.7,13.57871197,31.62738346,28,4.036520903,2.89247152815038,31.74467276,11.88457137,0.532847608,50.54454697
"19","Michigan","Crawford","No",0.970947368421053,32.4,24,99,18.18333666,30.76923077,6.543509966,1070,3475,695,4458,29,88.98305085,7.90968577,264,111.4359316,7.4,77,27.7,7.1221216307125,15,217.902222222222,36.0993454,34.1172071,129,11.0378275771963,3.431539082,59.18984281,28.98126415,0.204081633,49.19789943
"20","Michigan","Delta","No",5.17,35.8,23,93,17.62305027,19.04761905,6.454699345,1332,1434,652,2542,40,73.70030581,15.84874183,187,68.52343059,7.1,81,15.8,7.1221216307125,14.4,67.4,10.18292231,37.42479355,94,11.0378275771963,2.875135062,49.12427023,23.81088407,0.13676308,50.33605712
